accession	alntmscore	Organism	Taxonomic.lineage
A0A3D2FEX0	0.9879	Gallionellaceae bacterium	unclassified Gallionellaceae (no rank), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7Y8JI81	0.9874	Hydrogenophilaceae bacterium	unclassified Hydrogenophilaceae (no rank), Hydrogenophilaceae (family), Hydrogenophilales (order), Hydrogenophilia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A6S6XVB4	0.9798	Denitratisoma oestradiolicum	Denitratisoma (genus), Sterolibacteriaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2I6S6K8	0.9881	Pseudazoarcus pumilus	Pseudazoarcus (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7Y4YMN8	0.9857	Sideroxydans sp	unclassified Sideroxydans (no rank), Sideroxydans (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7Y4SIV8	0.9856	Sideroxydans sp	unclassified Sideroxydans (no rank), Sideroxydans (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A522XTQ1	0.9836	Rugosibacter sp	unclassified Rugosibacter (no rank), Rugosibacter (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2N4XKU4	0.9834	Uliginosibacterium sp. TH139	unclassified Uliginosibacterium (no rank), Uliginosibacterium (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1G0DS73	0.987	Gallionellales bacterium RIFCSPLOWO2_02_58_13	unclassified Nitrosomonadales (no rank), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1G0EM69	0.9869	Gallionellales bacterium RIFCSPLOWO2_12_FULL_59_22	unclassified Nitrosomonadales (no rank), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1G3IKW1	0.9855	Sideroxydans sp. GWF2_59_14	unclassified Sideroxydans (no rank), Sideroxydans (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A522XA45	0.986	Gallionella sp	unclassified Gallionella (no rank), Gallionella (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3B9P064	0.9854	Gallionellaceae bacterium	unclassified Gallionellaceae (no rank), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1G0BL78	0.985	Gallionellales bacterium GWA2_55_18	unclassified Nitrosomonadales (no rank), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0E9MB09	0.9869	Sulfuricella sp. T08	unclassified Sulfuricella (no rank), Sulfuricella (genus), Sulfuricellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7Y3JJ56	0.9824	Gallionella sp	unclassified Gallionella (no rank), Gallionella (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1G5TVN0	0.9772	Nitrosospira sp. Nsp18	unclassified Nitrosospira (no rank), Nitrosospira (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3D2NJH8	0.9853	Gallionella sp	unclassified Gallionella (no rank), Gallionella (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2M7C0E8	0.9869	Gallionellales bacterium CG03_land_8_20_14_0_80_55_15	unclassified Nitrosomonadales (no rank), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1F3WUH6	0.9875	Betaproteobacteria bacterium RBG_16_56_24	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1M7FYP8	0.9772	Nitrosospira sp. Nsp11	unclassified Nitrosospira (no rank), Nitrosospira (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2M7J3T0	0.9869	Gallionellales bacterium CG_4_8_14_3_um_filter_54_18	unclassified Nitrosomonadales (no rank), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1J4Z674	0.9853	Gallionellaceae bacterium CG1_02_56_997	unclassified Gallionellaceae (no rank), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2M8DWW2	0.9853	Gallionellales bacterium CG_4_9_14_0_8_um_filter_55_61	unclassified Nitrosomonadales (no rank), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0C5JK91	0.969	Rugosibacter aromaticivorans	Rugosibacter (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1G4XDN2	0.9765	Nitrosospira sp. Nsp1	unclassified Nitrosospira (no rank), Nitrosospira (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0C3RRN7	0.9823	Nitrosospira sp. NpAV	unclassified Nitrosospira (no rank), Nitrosospira (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1G5D3Y9	0.9837	Nitrosospira sp. Nsp13	unclassified Nitrosospira (no rank), Nitrosospira (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A258ZF98	0.9861	Gallionellales bacterium 24-53-125	unclassified Nitrosomonadales (no rank), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1P8FQV2	0.9809	Betaproteobacteria bacterium GR16-43	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
S6B8C3	0.9867	Sulfuricella denitrificans (strain DSM 22764 / NBRC 105220 / skB26)	Sulfuricella denitrificans (species), Sulfuricella (genus), Sulfuricellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A512LAL2	0.9884	Sulfuriferula plumbiphila	Sulfuriferula (genus), Sulfuricellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2T5JKX1	0.9835	Nitrosospira sp. Nsp5	unclassified Nitrosospira (no rank), Nitrosospira (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1W6SMJ1	0.9844	Nitrosospira lacus	Nitrosospira (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1H7PNA3	0.985	Nitrosovibrio tenuis	Nitrosovibrio (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2M7Y673	0.9873	Rhodocyclales bacterium CG_4_9_14_3_um_filter_68_10	unclassified Rhodocyclales (no rank), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1J5BEQ3	0.9822	Betaproteobacteria bacterium CG2_30_68_42	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0S8C3P4	0.9887	Betaproteobacteria bacterium SG8_41	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7Y3JY64	0.983	Gallionella sp	unclassified Gallionella (no rank), Gallionella (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A6F8V6Q0	0.9832	Sulfurimicrobium lacus	Sulfurimicrobium (genus), Sulfuricellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A139BWF5	0.9819	Candidatus Gallionella acididurans	Gallionella (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2X0QV53	0.9823	Candidatus Nitrotoga fabula	Candidatus Nitrotoga (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A257XYJ9	0.9884	Hydrogenophilales bacterium 12-61-10	unclassified Hydrogenophilales (no rank), Hydrogenophilales (order), Hydrogenophilia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A258FFY8	0.9885	Hydrogenophilales bacterium 32-62-9	unclassified Hydrogenophilales (no rank), Hydrogenophilales (order), Hydrogenophilia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A5C7RPW1	0.9894	Thiobacillus sp	unclassified Thiobacillus (no rank), Thiobacillus (genus), Thiobacillaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1Q4ELJ8	0.9894	Thiobacillus sp. 0-1251	unclassified Thiobacillus (no rank), Thiobacillus (genus), Thiobacillaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1F4BCY0	0.9875	Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_67_26	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1G5IMG4	0.9739	Nitrosospira sp. Nl5	unclassified Nitrosospira (no rank), Nitrosospira (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1I5AQ20	0.9767	Nitrosospira briensis	Nitrosospira (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1Q4GIJ5	0.9899	Thiobacillus sp. 63-78	unclassified Thiobacillus (no rank), Thiobacillus (genus), Thiobacillaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3N5J1J7	0.9896	Xanthomonadales bacterium	unclassified Xanthomonadales (no rank), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A431MCG4	0.9828	Rhodocyclaceae bacterium	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3D1WGT8	0.9637	Betaproteobacteria bacterium	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A258YXA4	0.9885	Hydrogenophilales bacterium 16-61-112	unclassified Hydrogenophilales (no rank), Hydrogenophilales (order), Hydrogenophilia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A258R4L3	0.9884	Hydrogenophilales bacterium 28-61-11	unclassified Hydrogenophilales (no rank), Hydrogenophilales (order), Hydrogenophilia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3E1DAK6	0.9746	Candidatus Nitrotoga sp. MKT	unclassified Candidatus Nitrotoga (no rank), Candidatus Nitrotoga (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A455XFD2	0.9791	Candidatus Nitrotoga sp. AM1P	unclassified Candidatus Nitrotoga (no rank), Candidatus Nitrotoga (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7C9P8E3	0.9893	Sulfuriferula multivorans	Sulfuriferula (genus), Sulfuricellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A259F868	0.9887	Hydrogenophilales bacterium 17-64-65	unclassified Hydrogenophilales (no rank), Hydrogenophilales (order), Hydrogenophilia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A6H9XVT0	0.9884	Betaproteobacteria bacterium SCN2	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A518U692	0.98	Denitratisoma sp. DHT3	unclassified Denitratisoma (no rank), Denitratisoma (genus), Sterolibacteriaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A521XIA7	0.9744	Betaproteobacteria bacterium	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A4P5UF97	0.9821	Nitrosomonadaceae bacterium	unclassified Nitrosomonadaceae (no rank), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1I4LY08	0.9816	Nitrosomonas nitrosa	Nitrosomonas (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1K1LK28	0.9829	Nitrosovibrio sp. Nv17	unclassified Nitrosovibrio (no rank), Nitrosovibrio (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A6M4H777	0.9653	Usitatibacter palustris	Usitatibacter (genus), Usitatibacteraceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3E1DV71	0.9778	Candidatus Nitrotoga sp. CP45	unclassified Candidatus Nitrotoga (no rank), Candidatus Nitrotoga (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A6M4GW80	0.9822	Usitatibacter rugosus	Usitatibacter (genus), Usitatibacteraceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
Q3SJW1	0.988	Thiobacillus denitrificans (strain ATCC 25259)	Thiobacillus denitrificans (species), Thiobacillus (genus), Thiobacillaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A4V2UQ90	0.9863	Sulfuritortus calidifontis	Sulfuritortus (genus), Thiobacillaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1Q3WKE6	0.9882	Thiobacillus sp. 65-1402	unclassified Thiobacillus (no rank), Thiobacillus (genus), Thiobacillaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A106BUV8	0.9892	Thiobacillus denitrificans	Thiobacillus (genus), Thiobacillaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
